Iteration,fit_time,evaluate_time,hit_rate,ndcg,mrr
5,37.825035572052,15.370847702026367,0.7162251655629139,0.6556528148816589,0.38618877539056423
10,38.595988273620605,15.553051233291626,0.7322847682119206,0.6853286919315195,0.40723417685636326
15,36.80399203300476,15.47236943244934,0.7347682119205298,0.6848216089769894,0.40570614952490747
20,37.80257534980774,15.458171606063843,0.7311258278145696,0.6830154809109958,0.4052882971567999
